Read data and preprocess ...

trainData length: 20
valiData length: 89
testData length: 89
Train time: 259.764319 sec
min val_loss: 37.876562, epoch: 1901
min val_precision: 5.033428, epoch: 2000
k = 0
estimated: 106.018211, ground truth: 112.569870
estimated: 104.300285, ground truth: 101.371834
estimated: 111.933098, ground truth: 116.219223
estimated: 112.032715, ground truth: 117.353081
estimated: 110.130386, ground truth: 120.060135
estimated: 111.826698, ground truth: 114.419067
estimated: 112.058319, ground truth: 118.152802
estimated: 112.085373, ground truth: 123.609985
estimated: 107.084595, ground truth: 106.499222
estimated: 111.777260, ground truth: 107.003319
estimated: 111.968246, ground truth: 111.127892
estimated: 112.028076, ground truth: 114.579292
estimated: 104.400841, ground truth: 108.069992
estimated: 111.878632, ground truth: 119.159546
estimated: 106.699989, ground truth: 106.480530
estimated: 112.013557, ground truth: 122.697914
estimated: 110.797279, ground truth: 106.401100
estimated: 107.101265, ground truth: 113.997643
estimated: 112.010300, ground truth: 112.726212
estimated: 111.659889, ground truth: 125.872055
estimated: 109.681686, ground truth: 109.782593
estimated: 111.286934, ground truth: 112.086723
estimated: 105.097755, ground truth: 100.878716
estimated: 112.015106, ground truth: 110.374893
estimated: 110.634811, ground truth: 107.124588
estimated: 111.068565, ground truth: 119.951614
estimated: 103.810951, ground truth: 89.883118
estimated: 111.859100, ground truth: 108.632416
estimated: 111.974007, ground truth: 122.257034
estimated: 111.895477, ground truth: 111.920921
estimated: 108.911247, ground truth: 105.858734
estimated: 112.037109, ground truth: 116.355980
estimated: 109.071762, ground truth: 116.597511
estimated: 111.981323, ground truth: 102.563828
estimated: 111.131149, ground truth: 106.214165
estimated: 112.061592, ground truth: 120.227402
estimated: 111.886826, ground truth: 108.037453
estimated: 111.330101, ground truth: 104.471130
estimated: 111.799515, ground truth: 105.376503
estimated: 110.840904, ground truth: 111.054039
estimated: 111.932838, ground truth: 103.808258
estimated: 112.069786, ground truth: 114.602180
estimated: 111.222137, ground truth: 110.638374
estimated: 112.049812, ground truth: 124.282906
estimated: 107.336128, ground truth: 116.355988
estimated: 112.080002, ground truth: 120.430733
estimated: 111.621216, ground truth: 120.087265
estimated: 111.537529, ground truth: 106.690674
estimated: 112.032150, ground truth: 123.053062
estimated: 112.061646, ground truth: 114.125938
estimated: 111.608498, ground truth: 127.073135
estimated: 106.211281, ground truth: 112.068298
estimated: 110.178116, ground truth: 104.973335
estimated: 107.421249, ground truth: 113.204010
estimated: 111.654465, ground truth: 109.147652
estimated: 111.881851, ground truth: 113.763840
estimated: 110.994133, ground truth: 114.373283
estimated: 111.948753, ground truth: 112.491676
estimated: 107.356285, ground truth: 113.479439
estimated: 111.514931, ground truth: 110.014069
estimated: 110.299164, ground truth: 116.050499
estimated: 110.287193, ground truth: 101.551834
estimated: 111.680824, ground truth: 114.684563
estimated: 110.313248, ground truth: 107.776871
estimated: 111.818001, ground truth: 109.384140
estimated: 111.895042, ground truth: 109.291389
estimated: 112.016190, ground truth: 124.954948
estimated: 110.531540, ground truth: 115.813248
estimated: 112.079697, ground truth: 109.050224
estimated: 104.071808, ground truth: 110.943245
estimated: 111.565880, ground truth: 101.077950
estimated: 111.218689, ground truth: 106.260895
estimated: 105.505661, ground truth: 106.872688
estimated: 111.940269, ground truth: 109.921486
estimated: 111.024216, ground truth: 122.810326
estimated: 106.749542, ground truth: 112.505455
estimated: 109.166679, ground truth: 115.416031
estimated: 104.192856, ground truth: 102.544937
estimated: 111.721062, ground truth: 102.521324
estimated: 111.922043, ground truth: 103.718842
estimated: 111.893631, ground truth: 107.599937
estimated: 107.242462, ground truth: 118.538536
estimated: 112.043663, ground truth: 108.279259
estimated: 106.780518, ground truth: 104.395958
estimated: 112.040421, ground truth: 106.961334
estimated: 110.418724, ground truth: 105.905533
estimated: 106.908134, ground truth: 109.175468
estimated: 107.503563, ground truth: 118.978302
estimated: 111.937843, ground truth: 113.061653

meanError: -1.540098
precision: 6.456057
rmse: 6.601837

trainData length: 20
valiData length: 89
testData length: 89
Train time: 257.413432 sec
min val_loss: 36.921262, epoch: 1766
min val_precision: 5.062292, epoch: 1794
k = 1
estimated: 107.954056, ground truth: 100.375366
estimated: 113.578613, ground truth: 111.662880
estimated: 111.878220, ground truth: 106.863365
estimated: 103.001442, ground truth: 98.598244
estimated: 104.428040, ground truth: 101.599197
estimated: 113.621216, ground truth: 113.171875
estimated: 113.415802, ground truth: 114.066391
estimated: 113.720131, ground truth: 106.433807
estimated: 113.502769, ground truth: 116.643044
estimated: 113.312370, ground truth: 108.590630
estimated: 113.619820, ground truth: 115.904518
estimated: 107.835503, ground truth: 111.118668
estimated: 113.752747, ground truth: 114.075546
estimated: 107.675453, ground truth: 117.830360
estimated: 112.858025, ground truth: 111.229416
estimated: 113.103966, ground truth: 100.151939
estimated: 103.963058, ground truth: 115.890823
estimated: 113.754532, ground truth: 125.559074
estimated: 106.553345, ground truth: 102.719612
estimated: 113.397179, ground truth: 125.872055
estimated: 111.829933, ground truth: 109.782593
estimated: 104.777985, ground truth: 112.086723
estimated: 105.547035, ground truth: 100.878716
estimated: 113.444260, ground truth: 110.374893
estimated: 106.364838, ground truth: 107.124588
estimated: 111.509880, ground truth: 119.951614
estimated: 102.395004, ground truth: 89.883118
estimated: 110.853462, ground truth: 108.632416
estimated: 113.717972, ground truth: 122.257034
estimated: 113.009087, ground truth: 111.920921
estimated: 103.861198, ground truth: 105.858734
estimated: 113.682709, ground truth: 116.355980
estimated: 113.613350, ground truth: 116.597511
estimated: 113.520966, ground truth: 102.563828
estimated: 113.422371, ground truth: 106.214165
estimated: 113.764565, ground truth: 120.227402
estimated: 110.726234, ground truth: 108.037453
estimated: 113.561371, ground truth: 104.471130
estimated: 113.533623, ground truth: 105.376503
estimated: 110.874168, ground truth: 111.054039
estimated: 113.732346, ground truth: 103.808258
estimated: 113.764832, ground truth: 114.602180
estimated: 107.419243, ground truth: 110.638374
estimated: 113.740204, ground truth: 124.282906
estimated: 113.533249, ground truth: 116.355988
estimated: 113.763680, ground truth: 120.430733
estimated: 110.484612, ground truth: 120.087265
estimated: 109.511017, ground truth: 106.690674
estimated: 113.753166, ground truth: 123.053062
estimated: 113.741898, ground truth: 114.125938
estimated: 113.093399, ground truth: 127.073135
estimated: 112.445572, ground truth: 112.068298
estimated: 106.066223, ground truth: 104.973335
estimated: 113.689514, ground truth: 113.204010
estimated: 113.399834, ground truth: 109.147652
estimated: 111.249107, ground truth: 113.763840
estimated: 113.700958, ground truth: 114.373283
estimated: 113.167290, ground truth: 112.491676
estimated: 113.271629, ground truth: 113.479439
estimated: 107.124710, ground truth: 110.014069
estimated: 109.839600, ground truth: 116.050499
estimated: 113.173218, ground truth: 101.551834
estimated: 106.771408, ground truth: 114.684563
estimated: 113.723900, ground truth: 107.776871
estimated: 113.252930, ground truth: 109.384140
estimated: 112.575768, ground truth: 109.291389
estimated: 111.804703, ground truth: 124.954948
estimated: 113.619820, ground truth: 115.813248
estimated: 113.747581, ground truth: 109.050224
estimated: 109.341606, ground truth: 110.943245
estimated: 113.189224, ground truth: 101.077950
estimated: 106.791359, ground truth: 106.260895
estimated: 111.198227, ground truth: 106.872688
estimated: 112.166893, ground truth: 109.921486
estimated: 111.175072, ground truth: 122.810326
estimated: 109.618324, ground truth: 112.505455
estimated: 111.996620, ground truth: 115.416031
estimated: 113.176506, ground truth: 102.544937
estimated: 113.716469, ground truth: 102.521324
estimated: 112.905952, ground truth: 103.718842
estimated: 110.749641, ground truth: 107.599937
estimated: 112.228508, ground truth: 118.538536
estimated: 113.404457, ground truth: 108.279259
estimated: 111.498123, ground truth: 104.395958
estimated: 113.651886, ground truth: 106.961334
estimated: 105.358864, ground truth: 105.905533
estimated: 112.132317, ground truth: 109.175468
estimated: 108.260605, ground truth: 118.978302
estimated: 111.031113, ground truth: 113.061653

meanError: 0.145756
precision: 6.626569
rmse: 6.590847

trainData length: 20
valiData length: 89
testData length: 89
Train time: 260.157932 sec
min val_loss: 26.786423, epoch: 1950
min val_precision: 4.196381, epoch: 1996
k = 2
estimated: 109.890465, ground truth: 100.375366
estimated: 106.833580, ground truth: 111.662880
estimated: 103.476357, ground truth: 106.863365
estimated: 92.237335, ground truth: 98.598244
estimated: 99.520882, ground truth: 101.599197
estimated: 111.272621, ground truth: 113.171875
estimated: 110.392006, ground truth: 114.066391
estimated: 113.837090, ground truth: 106.433807
estimated: 106.883347, ground truth: 116.643044
estimated: 111.714119, ground truth: 108.590630
estimated: 116.837616, ground truth: 115.904518
estimated: 109.925751, ground truth: 111.118668
estimated: 115.121452, ground truth: 114.075546
estimated: 113.384789, ground truth: 117.830360
estimated: 109.740242, ground truth: 111.229416
estimated: 104.278923, ground truth: 100.151939
estimated: 102.692749, ground truth: 115.890823
estimated: 117.623863, ground truth: 125.559074
estimated: 107.520790, ground truth: 102.719612
estimated: 96.529305, ground truth: 103.379799
estimated: 109.392204, ground truth: 112.569870
estimated: 99.570869, ground truth: 101.371834
estimated: 116.080429, ground truth: 116.219223
estimated: 115.663239, ground truth: 117.353081
estimated: 114.856796, ground truth: 120.060135
estimated: 114.492287, ground truth: 114.419067
estimated: 111.006935, ground truth: 118.152802
estimated: 117.908028, ground truth: 123.609985
estimated: 104.422050, ground truth: 106.499222
estimated: 111.966331, ground truth: 107.003319
estimated: 114.393280, ground truth: 111.127892
estimated: 113.173553, ground truth: 114.579292
estimated: 108.530334, ground truth: 108.069992
estimated: 114.812325, ground truth: 119.159546
estimated: 110.384399, ground truth: 106.480530
estimated: 116.052460, ground truth: 122.697914
estimated: 106.408607, ground truth: 106.401100
estimated: 106.326660, ground truth: 113.997643
estimated: 106.258789, ground truth: 105.376503
estimated: 110.938675, ground truth: 111.054039
estimated: 109.349419, ground truth: 103.808258
estimated: 117.786636, ground truth: 114.602180
estimated: 114.926712, ground truth: 110.638374
estimated: 116.400841, ground truth: 124.282906
estimated: 112.738777, ground truth: 116.355988
estimated: 117.800873, ground truth: 120.430733
estimated: 113.698151, ground truth: 120.087265
estimated: 111.929558, ground truth: 106.690674
estimated: 117.199104, ground truth: 123.053062
estimated: 117.329201, ground truth: 114.125938
estimated: 116.730560, ground truth: 127.073135
