feature length: 15
Read data and preprocess ...

trainData length: 40
valiData length: 79
testData length: 79
Train time: 255.721651 sec
min val_loss: 53.319761, epoch: 636
min val_precision: 6.153795, epoch: 2
k = 0
estimated: 109.471611, ground truth: 109.782593
estimated: 109.471634, ground truth: 112.086723
estimated: 109.471466, ground truth: 100.878716
estimated: 109.471649, ground truth: 110.374893
estimated: 109.471649, ground truth: 107.124588
estimated: 109.471512, ground truth: 119.951614
estimated: 109.471481, ground truth: 89.883118
estimated: 109.471489, ground truth: 108.632416
estimated: 109.471916, ground truth: 122.257034
estimated: 109.471626, ground truth: 111.920921
estimated: 109.471519, ground truth: 105.858734
estimated: 109.471664, ground truth: 116.355980
estimated: 109.471565, ground truth: 116.597511
estimated: 109.471542, ground truth: 102.563828
estimated: 109.471649, ground truth: 106.214165
estimated: 109.471352, ground truth: 120.227402
estimated: 109.471649, ground truth: 108.037453
estimated: 109.471420, ground truth: 104.471130
estimated: 109.471840, ground truth: 105.376503
estimated: 109.471848, ground truth: 111.054039
estimated: 109.471703, ground truth: 103.808258
estimated: 109.471558, ground truth: 114.602180
estimated: 109.471649, ground truth: 110.638374
estimated: 109.471901, ground truth: 124.282906
estimated: 109.471573, ground truth: 116.355988
estimated: 109.471596, ground truth: 120.430733
estimated: 109.471611, ground truth: 120.087265
estimated: 109.471588, ground truth: 106.690674
estimated: 109.471870, ground truth: 123.053062
estimated: 109.471436, ground truth: 114.125938
estimated: 109.471886, ground truth: 127.073135
estimated: 109.471527, ground truth: 112.068298
estimated: 109.471764, ground truth: 104.973335
estimated: 109.471741, ground truth: 113.204010
estimated: 109.471581, ground truth: 109.147652
estimated: 109.471558, ground truth: 113.763840
estimated: 109.471565, ground truth: 114.373283
estimated: 109.471489, ground truth: 112.491676
estimated: 109.471809, ground truth: 113.479439
estimated: 109.471672, ground truth: 110.014069
estimated: 109.471840, ground truth: 116.050499
estimated: 109.471466, ground truth: 101.551834
estimated: 109.471596, ground truth: 114.684563
estimated: 109.471809, ground truth: 107.776871
estimated: 109.471512, ground truth: 109.384140
estimated: 109.471680, ground truth: 109.291389
estimated: 109.471443, ground truth: 124.954948
estimated: 109.471619, ground truth: 115.813248
estimated: 109.471916, ground truth: 109.050224
estimated: 109.471718, ground truth: 110.943245
estimated: 109.471603, ground truth: 101.077950
estimated: 109.471779, ground truth: 106.260895
estimated: 109.471558, ground truth: 106.872688
estimated: 109.471581, ground truth: 109.921486
estimated: 109.471741, ground truth: 122.810326
estimated: 109.471786, ground truth: 112.505455
estimated: 109.471779, ground truth: 115.416031
estimated: 109.471680, ground truth: 102.544937
estimated: 109.471588, ground truth: 102.521324
estimated: 109.471741, ground truth: 103.718842
estimated: 109.471626, ground truth: 107.599937
estimated: 109.471809, ground truth: 118.538536
estimated: 109.471588, ground truth: 108.279259
estimated: 109.471970, ground truth: 104.395958
estimated: 109.471634, ground truth: 106.961334
estimated: 109.471642, ground truth: 105.905533
estimated: 109.471550, ground truth: 109.175468
estimated: 109.471809, ground truth: 118.978302
estimated: 109.471657, ground truth: 113.061653
estimated: 109.471649, ground truth: 100.180473
estimated: 109.471779, ground truth: 104.062248
estimated: 109.471710, ground truth: 109.101257
estimated: 109.471771, ground truth: 113.226974
estimated: 109.471504, ground truth: 100.399109
estimated: 109.471329, ground truth: 114.162590
estimated: 109.471626, ground truth: 102.346550
estimated: 109.471436, ground truth: 108.102577
estimated: 109.471855, ground truth: 95.844788
estimated: 109.471451, ground truth: 122.234497

meanError: -1.161537
precision: 7.067695
rmse: 7.118228

