Train time: 771.943220 sec
min val_loss: 260.216114, epoch: 1515
min val_precision: 4.081425, epoch: 1515
k = 1
estimated: 98.448990, ground truth: 105.742172
estimated: 97.215645, ground truth: 100.147995
estimated: 94.245827, ground truth: 94.557983
estimated: 104.431442, ground truth: 106.963799
estimated: 100.108009, ground truth: 102.511185
estimated: 91.608894, ground truth: 94.183083
estimated: 107.220764, ground truth: 110.721359
estimated: 108.468132, ground truth: 107.288170
estimated: 106.405792, ground truth: 102.258438
estimated: 99.585114, ground truth: 99.987907
estimated: 104.324059, ground truth: 111.294250
estimated: 102.980812, ground truth: 106.513077
estimated: 97.658226, ground truth: 99.309692
estimated: 113.168404, ground truth: 114.836990
estimated: 100.680885, ground truth: 105.725334
estimated: 111.023277, ground truth: 103.652786
estimated: 101.726555, ground truth: 108.918404
estimated: 97.921280, ground truth: 104.099312
estimated: 101.863846, ground truth: 103.126221
estimated: 99.336502, ground truth: 98.686249
estimated: 112.472481, ground truth: 105.464157
estimated: 107.276047, ground truth: 109.596619
estimated: 105.954308, ground truth: 107.894760
estimated: 96.935356, ground truth: 100.392303
estimated: 117.289406, ground truth: 117.975296
estimated: 123.451424, ground truth: 121.715973
estimated: 104.485130, ground truth: 101.285355
estimated: 106.843109, ground truth: 114.293549
estimated: 106.832794, ground truth: 106.601532
estimated: 113.126930, ground truth: 113.842819
estimated: 102.085251, ground truth: 103.442154
estimated: 105.194305, ground truth: 106.138161
estimated: 108.449791, ground truth: 119.567596
estimated: 102.061264, ground truth: 115.540451
estimated: 97.709488, ground truth: 95.986046

meanError: -2.047761
precision: 4.386488
rmse: 4.783812
