Read data and preprocess ...

trainData length: 135
valiData length: 15
testData length: 222
Train time: 360.357195 sec
min val_loss: 31.914162, epoch: 1518
min val_precision: 2.021820, epoch: 718
k = 0
estimated: 106.106140, ground truth: 105.742172
estimated: 104.219757, ground truth: 100.147995
estimated: 97.535835, ground truth: 94.557983
estimated: 99.882385, ground truth: 106.963799
estimated: 100.974785, ground truth: 102.511185
estimated: 95.145485, ground truth: 94.183083
estimated: 111.695732, ground truth: 110.721359
estimated: 104.302490, ground truth: 105.455727
estimated: 99.313652, ground truth: 100.590294
estimated: 98.885941, ground truth: 106.555206
estimated: 105.568291, ground truth: 102.894531
estimated: 97.895607, ground truth: 96.019730
estimated: 102.192650, ground truth: 107.869492
estimated: 103.741119, ground truth: 107.132309
estimated: 99.760117, ground truth: 102.704964
estimated: 110.320992, ground truth: 110.434906
estimated: 112.845764, ground truth: 107.153351
estimated: 99.851761, ground truth: 104.756462
estimated: 106.077354, ground truth: 110.022095
estimated: 109.465088, ground truth: 104.533188
estimated: 103.065750, ground truth: 96.146103
estimated: 103.133720, ground truth: 114.550514
estimated: 108.811409, ground truth: 112.553787
estimated: 99.543518, ground truth: 95.859657
estimated: 112.467064, ground truth: 109.503929
estimated: 101.541641, ground truth: 104.149864
estimated: 100.168831, ground truth: 99.874161
estimated: 101.871407, ground truth: 104.250954
estimated: 101.046341, ground truth: 103.665421
estimated: 97.708939, ground truth: 93.639664
estimated: 108.600815, ground truth: 104.798569
estimated: 102.372864, ground truth: 98.715729
estimated: 95.693443, ground truth: 94.953964
estimated: 102.971878, ground truth: 102.747086
estimated: 102.402557, ground truth: 101.630783
estimated: 99.500412, ground truth: 93.504868
estimated: 97.333496, ground truth: 102.308998
estimated: 101.815643, ground truth: 103.703323
estimated: 101.302109, ground truth: 99.469772
estimated: 99.819534, ground truth: 100.990456
estimated: 98.721802, ground truth: 103.998222
estimated: 100.600952, ground truth: 95.467888
estimated: 99.018867, ground truth: 104.103516
estimated: 102.142761, ground truth: 101.500198
estimated: 102.168098, ground truth: 96.921204
estimated: 103.250771, ground truth: 102.991432
estimated: 100.953461, ground truth: 99.663544
estimated: 103.779755, ground truth: 101.213745
estimated: 92.328362, ground truth: 77.008698
estimated: 95.402542, ground truth: 84.330048
estimated: 99.951851, ground truth: 94.570618
estimated: 92.421005, ground truth: 80.901077
estimated: 96.675415, ground truth: 81.591911
estimated: 94.092339, ground truth: 92.611816
estimated: 101.105843, ground truth: 91.099525
estimated: 101.950874, ground truth: 90.678284
estimated: 98.260460, ground truth: 99.562447
estimated: 100.929070, ground truth: 96.411476
estimated: 107.195107, ground truth: 100.093216
estimated: 95.820282, ground truth: 89.153358
estimated: 96.620399, ground truth: 86.065598
estimated: 99.768593, ground truth: 89.208099
estimated: 95.189507, ground truth: 91.807236
estimated: 103.446404, ground truth: 98.631470
estimated: 102.310074, ground truth: 99.823624
estimated: 100.318695, ground truth: 95.442612
estimated: 101.247284, ground truth: 93.033066
estimated: 101.499519, ground truth: 97.334030
estimated: 94.877899, ground truth: 92.729767
estimated: 93.526733, ground truth: 88.483574
estimated: 98.999207, ground truth: 90.054825
estimated: 100.996300, ground truth: 97.852165
estimated: 99.692192, ground truth: 92.422234
estimated: 100.463852, ground truth: 95.825958
estimated: 97.325783, ground truth: 89.991646
estimated: 102.242523, ground truth: 103.130432
estimated: 98.299179, ground truth: 98.446121
estimated: 98.211014, ground truth: 96.685318
estimated: 104.277069, ground truth: 95.046631
estimated: 101.260139, ground truth: 96.419914
estimated: 100.135391, ground truth: 92.485451
estimated: 99.702606, ground truth: 92.915115
estimated: 103.169716, ground truth: 92.961464
estimated: 94.295921, ground truth: 89.882111
estimated: 107.800667, ground truth: 100.219574
estimated: 101.781616, ground truth: 97.574150
estimated: 102.184822, ground truth: 88.930092
estimated: 95.801315, ground truth: 95.531090
estimated: 97.248764, ground truth: 89.418732
estimated: 98.522568, ground truth: 95.274109
estimated: 101.919006, ground truth: 99.722527
estimated: 101.001114, ground truth: 90.075882
estimated: 96.931969, ground truth: 90.501358
estimated: 102.617828, ground truth: 99.284416
estimated: 104.023224, ground truth: 97.422501
estimated: 100.280914, ground truth: 95.514236
estimated: 102.739159, ground truth: 95.316223
estimated: 108.286873, ground truth: 99.191742
estimated: 100.691177, ground truth: 93.744980
estimated: 97.923958, ground truth: 100.539742
estimated: 100.861389, ground truth: 94.157806
estimated: 99.576851, ground truth: 92.140015
estimated: 98.732704, ground truth: 94.119904
estimated: 97.275139, ground truth: 94.907623
estimated: 94.259933, ground truth: 94.107246
estimated: 101.360748, ground truth: 100.607155
estimated: 107.652679, ground truth: 97.140244
estimated: 99.907860, ground truth: 96.980179
estimated: 94.920509, ground truth: 96.950668
estimated: 105.243668, ground truth: 94.966614
estimated: 102.706459, ground truth: 92.001007
estimated: 102.966461, ground truth: 100.956779
estimated: 103.303780, ground truth: 104.124580
estimated: 100.259644, ground truth: 101.213737
estimated: 101.018417, ground truth: 98.901085
estimated: 100.399261, ground truth: 98.425064
estimated: 99.432213, ground truth: 95.181442
estimated: 97.368973, ground truth: 93.829224
estimated: 100.355034, ground truth: 98.222870
estimated: 97.616798, ground truth: 95.084564
estimated: 101.749771, ground truth: 96.988594
estimated: 101.795540, ground truth: 96.234558
estimated: 109.291252, ground truth: 100.965210
estimated: 97.360359, ground truth: 98.955841
estimated: 103.122978, ground truth: 96.525238
estimated: 100.214653, ground truth: 98.505104
estimated: 99.467445, ground truth: 95.459465
estimated: 101.961853, ground truth: 95.703796
estimated: 94.939041, ground truth: 90.939453
estimated: 102.421669, ground truth: 95.986023
estimated: 112.216263, ground truth: 95.838608
estimated: 104.050598, ground truth: 89.856827
estimated: 103.987816, ground truth: 97.460388
estimated: 106.319382, ground truth: 96.293564
estimated: 98.254738, ground truth: 97.953262
estimated: 103.582062, ground truth: 104.815437
estimated: 110.747086, ground truth: 103.572739
estimated: 109.635384, ground truth: 97.839531
estimated: 109.364380, ground truth: 104.440536
estimated: 102.621147, ground truth: 100.640839
estimated: 104.434097, ground truth: 102.431152
estimated: 106.653412, ground truth: 102.422737
estimated: 104.724396, ground truth: 99.044296
estimated: 98.246063, ground truth: 96.095551
estimated: 104.903618, ground truth: 105.898048
estimated: 113.773094, ground truth: 101.601288
estimated: 101.254997, ground truth: 96.761124
estimated: 100.411331, ground truth: 109.487083
estimated: 101.295647, ground truth: 111.677605
estimated: 98.583572, ground truth: 102.890305
estimated: 100.696014, ground truth: 110.540215
estimated: 102.316513, ground truth: 113.417358
estimated: 97.928467, ground truth: 104.533188
estimated: 100.589111, ground truth: 107.646248
estimated: 101.395233, ground truth: 102.877670
estimated: 99.325493, ground truth: 102.359543
estimated: 101.259331, ground truth: 112.368446
estimated: 100.934052, ground truth: 100.455490
estimated: 98.313530, ground truth: 94.107254
estimated: 101.001038, ground truth: 106.310867
estimated: 101.930519, ground truth: 109.727203
estimated: 101.969498, ground truth: 104.116158
estimated: 110.179329, ground truth: 112.553795
estimated: 115.341911, ground truth: 106.197128
estimated: 100.614937, ground truth: 101.458061
estimated: 104.825989, ground truth: 113.122482
estimated: 100.442314, ground truth: 107.970596
estimated: 103.815094, ground truth: 99.962631
estimated: 103.467880, ground truth: 107.995865
estimated: 99.945061, ground truth: 104.031906
estimated: 106.182098, ground truth: 102.915596
estimated: 98.905067, ground truth: 101.049454
estimated: 100.695541, ground truth: 97.081284
estimated: 97.287933, ground truth: 96.074493
estimated: 106.068604, ground truth: 105.746399
estimated: 99.806099, ground truth: 101.883530
estimated: 97.848633, ground truth: 90.358124
estimated: 103.100471, ground truth: 101.319069
estimated: 101.557465, ground truth: 93.340569
estimated: 100.639076, ground truth: 97.885864
estimated: 98.662949, ground truth: 103.547462
estimated: 101.427460, ground truth: 97.927994
estimated: 99.314507, ground truth: 99.920502
estimated: 97.463394, ground truth: 94.616959
estimated: 106.649338, ground truth: 98.871590
estimated: 91.518105, ground truth: 92.034706
estimated: 105.050423, ground truth: 102.928223
estimated: 106.971695, ground truth: 102.477486
estimated: 100.990105, ground truth: 93.707077
estimated: 102.831741, ground truth: 98.058563
estimated: 106.787445, ground truth: 101.651840
estimated: 98.894691, ground truth: 95.868073
estimated: 104.093681, ground truth: 100.977837
estimated: 99.688507, ground truth: 102.144707
estimated: 96.310150, ground truth: 94.996101
estimated: 96.505753, ground truth: 93.555420
estimated: 101.923851, ground truth: 93.113113
estimated: 101.159828, ground truth: 91.963089
estimated: 102.281105, ground truth: 94.520096
estimated: 99.239906, ground truth: 95.526855
estimated: 98.594551, ground truth: 91.984154
estimated: 100.692215, ground truth: 103.088310
estimated: 106.475975, ground truth: 95.948105
estimated: 100.091309, ground truth: 95.914421
estimated: 102.870865, ground truth: 98.142838
estimated: 99.149544, ground truth: 101.630768
estimated: 97.663483, ground truth: 95.472107
estimated: 93.500648, ground truth: 91.141655
estimated: 98.599403, ground truth: 92.531792
estimated: 98.415413, ground truth: 98.934776
estimated: 107.751678, ground truth: 99.730942
estimated: 103.249802, ground truth: 104.406815
estimated: 102.225601, ground truth: 101.192688
estimated: 107.989159, ground truth: 110.767700
estimated: 108.468674, ground truth: 111.921928
estimated: 101.532509, ground truth: 111.290031
estimated: 107.530731, ground truth: 110.001007
estimated: 110.054192, ground truth: 108.316010
estimated: 102.706398, ground truth: 108.126457
estimated: 98.134575, ground truth: 96.773750
estimated: 102.128746, ground truth: 97.173965
estimated: 100.170372, ground truth: 100.535522

meanError: 2.482777
precision: 5.335359
rmse: 5.873841

trainData length: 290
valiData length: 37
testData length: 45
Train time: 710.987326 sec
min val_loss: 82.908098, epoch: 381
min val_precision: 3.799961, epoch: 381
k = 1
estimated: 114.567596, ground truth: 107.288170
estimated: 115.012703, ground truth: 102.258438
estimated: 110.124992, ground truth: 99.987907
estimated: 115.074524, ground truth: 111.294250
estimated: 115.475052, ground truth: 106.513077
estimated: 107.671326, ground truth: 99.309692
estimated: 114.706696, ground truth: 114.836990
estimated: 115.099976, ground truth: 102.768150
estimated: 112.511284, ground truth: 95.543724
estimated: 106.297348, ground truth: 107.469292
estimated: 114.702248, ground truth: 111.193153
estimated: 109.962524, ground truth: 94.692787
estimated: 104.253761, ground truth: 110.430679
estimated: 109.562805, ground truth: 110.856171
estimated: 99.356094, ground truth: 94.107254
estimated: 114.451454, ground truth: 110.818260
estimated: 114.495056, ground truth: 109.748260
estimated: 104.788544, ground truth: 99.242294
estimated: 111.273369, ground truth: 112.048309
estimated: 114.983971, ground truth: 108.943665
estimated: 110.822166, ground truth: 101.411736
estimated: 113.276970, ground truth: 106.707970
estimated: 112.788635, ground truth: 103.143051
estimated: 107.896591, ground truth: 98.159691
estimated: 112.160698, ground truth: 110.430695
estimated: 114.390404, ground truth: 104.524765
estimated: 105.060562, ground truth: 94.865509
estimated: 113.727646, ground truth: 102.511215
estimated: 107.369942, ground truth: 99.996300
estimated: 108.101509, ground truth: 97.439346
estimated: 113.202545, ground truth: 104.912315
estimated: 113.299301, ground truth: 108.846794
estimated: 113.207207, ground truth: 98.180740
estimated: 113.612511, ground truth: 110.182167
estimated: 113.989960, ground truth: 108.168571
estimated: 110.810165, ground truth: 99.166473
estimated: 113.590546, ground truth: 104.095093
estimated: 113.289642, ground truth: 104.061386
estimated: 107.711678, ground truth: 99.107498
estimated: 113.118484, ground truth: 107.722061
estimated: 113.860512, ground truth: 105.493622
estimated: 109.013000, ground truth: 98.753647
estimated: 113.842148, ground truth: 115.178192
estimated: 115.260262, ground truth: 109.398621
estimated: 113.541534, ground truth: 100.775650

meanError: 7.082939
precision: 4.883378
rmse: 8.572367

trainData length: 300
valiData length: 36
testData length: 36
Train time: 732.779491 sec
min val_loss: 38.977761, epoch: 879
min val_precision: 3.532532, epoch: 876
k = 2
estimated: 111.342773, ground truth: 105.725334
estimated: 110.857819, ground truth: 103.652786
estimated: 119.747162, ground truth: 108.918404
estimated: 109.788239, ground truth: 104.099312
estimated: 117.966187, ground truth: 103.126221
estimated: 112.316162, ground truth: 98.686249
