Read data and preprocess ...

trainData length: 135
valiData length: 15
testData length: 222
Train time: 361.369894 sec
min val_loss: 167.143148, epoch: 267
min val_precision: 4.852399, epoch: 1104
k = 0
estimated: 104.829178, ground truth: 105.742172
estimated: 104.535042, ground truth: 100.147995
estimated: 103.508865, ground truth: 94.557983
estimated: 105.947731, ground truth: 106.963799
estimated: 105.093750, ground truth: 102.511185
estimated: 106.135323, ground truth: 94.183083
estimated: 105.895401, ground truth: 110.721359
estimated: 106.476067, ground truth: 105.455727
estimated: 104.191360, ground truth: 100.590294
estimated: 104.845261, ground truth: 106.555206
estimated: 105.133415, ground truth: 102.894531
estimated: 105.043388, ground truth: 96.019730
estimated: 105.242920, ground truth: 107.869492
estimated: 105.473030, ground truth: 107.132309
estimated: 104.026382, ground truth: 102.704964
estimated: 105.202927, ground truth: 110.434906
estimated: 105.861916, ground truth: 107.153351
estimated: 104.160103, ground truth: 104.756462
estimated: 105.009247, ground truth: 110.022095
estimated: 105.983810, ground truth: 104.533188
estimated: 103.774445, ground truth: 96.146103
estimated: 106.089798, ground truth: 114.550514
estimated: 106.660355, ground truth: 112.553787
estimated: 104.948067, ground truth: 95.859657
estimated: 107.039406, ground truth: 109.503929
estimated: 107.037437, ground truth: 104.149864
estimated: 105.318375, ground truth: 99.874161
estimated: 105.117851, ground truth: 104.250954
estimated: 106.189171, ground truth: 103.665421
estimated: 104.965195, ground truth: 93.639664
estimated: 104.142982, ground truth: 104.798569
estimated: 104.444283, ground truth: 98.715729
estimated: 102.176628, ground truth: 94.953964
estimated: 104.397995, ground truth: 102.747086
estimated: 105.519745, ground truth: 101.630783
estimated: 104.241898, ground truth: 93.504868
estimated: 102.517632, ground truth: 102.308998
estimated: 104.528175, ground truth: 103.703323
estimated: 104.363060, ground truth: 99.469772
estimated: 104.374435, ground truth: 100.990456
estimated: 102.304558, ground truth: 103.998222
estimated: 104.933449, ground truth: 95.467888
estimated: 105.852112, ground truth: 104.103516
estimated: 105.919571, ground truth: 101.500198
estimated: 103.949600, ground truth: 96.921204
estimated: 104.094254, ground truth: 102.991432
estimated: 105.799660, ground truth: 99.663544
estimated: 104.711533, ground truth: 101.213745
estimated: 102.326927, ground truth: 77.008698
estimated: 103.229828, ground truth: 84.330048
estimated: 103.485306, ground truth: 94.570618
estimated: 102.981537, ground truth: 80.901077
estimated: 102.796989, ground truth: 81.591911
estimated: 103.174477, ground truth: 92.611816
estimated: 103.214088, ground truth: 91.099525
estimated: 103.652061, ground truth: 90.678284
estimated: 104.101768, ground truth: 99.562447
estimated: 103.662216, ground truth: 96.411476
estimated: 104.376633, ground truth: 100.093216
estimated: 103.610390, ground truth: 89.153358
estimated: 104.638336, ground truth: 86.065598
estimated: 103.045937, ground truth: 89.208099
estimated: 103.483864, ground truth: 91.807236
estimated: 103.529236, ground truth: 98.631470
estimated: 103.402008, ground truth: 99.823624
estimated: 104.015938, ground truth: 95.442612
estimated: 103.857574, ground truth: 93.033066
estimated: 105.610313, ground truth: 97.334030
estimated: 103.176392, ground truth: 92.729767
estimated: 102.970779, ground truth: 88.483574
estimated: 103.394905, ground truth: 90.054825
estimated: 104.224541, ground truth: 97.852165
estimated: 102.014008, ground truth: 92.422234
estimated: 102.625679, ground truth: 95.825958
estimated: 103.040154, ground truth: 89.991646
estimated: 103.535042, ground truth: 103.130432
estimated: 102.129517, ground truth: 98.446121
estimated: 100.849785, ground truth: 96.685318
estimated: 104.994156, ground truth: 95.046631
estimated: 104.301071, ground truth: 96.419914
estimated: 103.830910, ground truth: 92.485451
estimated: 104.815269, ground truth: 92.915115
estimated: 102.974655, ground truth: 92.961464
estimated: 102.377914, ground truth: 89.882111
estimated: 104.706146, ground truth: 100.219574
estimated: 105.101807, ground truth: 97.574150
estimated: 103.911537, ground truth: 88.930092
estimated: 103.419090, ground truth: 95.531090
estimated: 105.253242, ground truth: 89.418732
estimated: 103.628174, ground truth: 95.274109
estimated: 105.520950, ground truth: 99.722527
estimated: 103.406113, ground truth: 90.075882
estimated: 102.125320, ground truth: 90.501358
estimated: 103.294151, ground truth: 99.284416
estimated: 101.809441, ground truth: 97.422501
estimated: 104.211197, ground truth: 95.514236
estimated: 104.603996, ground truth: 95.316223
estimated: 103.925949, ground truth: 99.191742
estimated: 105.691643, ground truth: 93.744980
estimated: 101.437904, ground truth: 100.539742
estimated: 104.715309, ground truth: 94.157806
estimated: 103.320923, ground truth: 92.140015
estimated: 101.809555, ground truth: 94.119904
estimated: 100.795975, ground truth: 94.907623
estimated: 98.588921, ground truth: 94.107246
estimated: 102.715744, ground truth: 100.607155
estimated: 103.476326, ground truth: 97.140244
estimated: 102.196693, ground truth: 96.980179
estimated: 103.027290, ground truth: 96.950668
estimated: 103.918579, ground truth: 94.966614
estimated: 103.860245, ground truth: 92.001007
estimated: 105.042343, ground truth: 100.956779
estimated: 104.998581, ground truth: 104.124580
estimated: 102.664658, ground truth: 101.213737
estimated: 104.664566, ground truth: 98.901085
estimated: 104.479774, ground truth: 98.425064
estimated: 104.104744, ground truth: 95.181442
estimated: 104.729805, ground truth: 93.829224
estimated: 105.356445, ground truth: 98.222870
estimated: 104.641273, ground truth: 95.084564
estimated: 104.131630, ground truth: 96.988594
estimated: 102.569046, ground truth: 96.234558
estimated: 103.539024, ground truth: 100.965210
estimated: 103.904259, ground truth: 98.955841
estimated: 104.224884, ground truth: 96.525238
estimated: 104.833771, ground truth: 98.505104
estimated: 104.176926, ground truth: 95.459465
estimated: 104.694397, ground truth: 95.703796
estimated: 102.937019, ground truth: 90.939453
estimated: 103.635208, ground truth: 95.986023
estimated: 101.623116, ground truth: 95.838608
estimated: 104.949463, ground truth: 89.856827
estimated: 104.336784, ground truth: 97.460388
estimated: 104.331055, ground truth: 96.293564
estimated: 105.236504, ground truth: 97.953262
estimated: 105.664841, ground truth: 104.815437
estimated: 105.543823, ground truth: 103.572739
estimated: 102.925522, ground truth: 97.839531
estimated: 104.807732, ground truth: 104.440536
estimated: 104.468277, ground truth: 100.640839
estimated: 104.711052, ground truth: 102.431152
estimated: 104.461456, ground truth: 102.422737
estimated: 104.487206, ground truth: 99.044296
estimated: 102.296677, ground truth: 96.095551
estimated: 104.895409, ground truth: 105.898048
estimated: 103.963081, ground truth: 101.601288
estimated: 104.946533, ground truth: 96.761124
estimated: 104.084373, ground truth: 109.487083
estimated: 105.747650, ground truth: 111.677605
estimated: 104.620369, ground truth: 102.890305
estimated: 106.870575, ground truth: 110.540215
estimated: 106.128418, ground truth: 113.417358
estimated: 103.738625, ground truth: 104.533188
estimated: 105.483757, ground truth: 107.646248
estimated: 103.625877, ground truth: 102.877670
estimated: 102.674660, ground truth: 102.359543
estimated: 103.702492, ground truth: 112.368446
estimated: 104.977531, ground truth: 100.455490
